site,bag_id,artifact,layer,locus,square,raw_material,support,preservation,length,width,thickness,weight,usewear_macro,usewear_location,usewear_type,active_areas,residues_macro,typology,photo_file,observations
Nesher Ramla,793,793,5,37,,Limestone,Pebble,complete,93.98,65.78,39.76,322,no,,,,yes,Manuport,,bone fragment
Nesher Ramla,5551,5551-1,5,45,,Limestone,Pebble,small_breakage,82.94,54.44,26.75,174,no,,,,no,Manuport,,
Nesher Ramla,1839,1939,5,37,,Limestone,boulder,broken,144.51,141.18,84.47,2745,no,,,,no,Chopper,,
Nesher Ramla,1593,1593,5,37,,Limestone,Pebble,complete,87.4,70.86,49.93,479,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,6034,6034,5,37,,Limestone,Pebble,complete,93.64,63.09,47.11,413,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,4447,4447,5,,,Limestone,Pebble,complete,78.55,63.96,58.12,428,no,,,,no,Manuport,,
Nesher Ramla,5911,5911,5,,,Limestone,Pebble,complete,78.24,67.5,57.61,436,no,,,,no,Manuport,,
Nesher Ramla,4392,4392,5,,,Limestone,Pebble,complete,70.9,46.72,40.78,184,no,,,,no,Manuport,,
Nesher Ramla,6109,6109,5,37,,Limestone,Pebble,complete,68.8,52.54,37.52,212,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,4309,4309-1,5,,,Limestone,Pebble,complete,0,0,0,0,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,4309,4309-2,5,,,Limestone,Pebble,complete,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,8119,8119,5,59,,Limestone,Pebble,complete,66.07,60.39,44.91,275,no,,,,no,Manuport,,
Nesher Ramla,11,11,5,37,,Limestone,Pebble,small_breakage,81.14,67.84,47.67,337,no,,,,no,Manuport,,
Nesher Ramla,351,351,5,37,,Limestone,Pebble,small_breakage,87.19,74.03,54.88,465,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,1192,1192,5,37,,Limestone,Pebble,broken,76.09,44.33,44.38,226,no,,,,no,Manuport,,
Nesher Ramla,4801,4801,5,46,,Limestone,block,complete,0,0,0,0,no,,,,no,Manuport,,
Nesher Ramla,5071,5071,5,53,,Limestone,Pebble,complete,82.83,60.78,48.9,318,no,,,,no,Manuport,,
Nesher Ramla,5560,5560,5,47,,Limestone,Pebble,complete,66.75,61.46,47.11,,no,,,,no,Manuport,,
Nesher Ramla,1683,1683,5,37,,Limestone,Pebble,complete,94.37,61.93,40.37,364,no,,,,no,Manuport,,
Nesher Ramla,4391,4391,5,,,Limestone,Pebble,small_breakage,0,0,0,0,yes,tip,pecking,1,no,Hammerstone,,Burned?
Nesher Ramla,4461,4461,5,,,Limestone,Pebble,complete,57.03,50.38,28.12,119,no,,,,no,Manuport,,
Nesher Ramla,4263,4263,5,,,Limestone,Pebble,complete,0,0,0,0,yes,central,pecking,1,no,Hammerstone,,
Tinshemet,1,1,87.14,FC,A018,Limestone,Pebble,complete,75.07,66.18,54.36,354,no,,,,no,Manuport,,top soil
Tinshemet,2,2,top soil,RS,AK19/B,Limestone,Pebble,broken,67.29,48.62,35.6,116,no,,,,no,Manuport,,
Tinshemet,3,3,top soil,FC,AO19,Limestone,Pebble,broken,81.35,60.67,38.24,248,no,,,,no,Manuport,,
Tinshemet,4,4,top soil,FC,AO19,Limestone,Pebble,broken,52.15,32.39,39.05,85,no,,,,no,Manuport,,
Tinshemet,271,271,?,TRR,AE23a,Limestone,block,broken,153.06,77.93,54.36,893,no,,,,yes,Natural,,ochre?
Tinshemet,322,322,87.83,RS,AL20,Limestone,Pebble,complete,50.03,48.36,37.8,121,yes,tip,mix,2,yes,Abrader,,Ochre
Nesher Ramla,6074,6074,5,37,,Limestone,Pebble,complete,72.07,64.67,61.17,500,no,,,,no,Manuport,,
Nesher Ramla,7016,7016,5,54,,Limestone,Pebble,complete,62.78,46.04,38.06,153,no,,,,no,Manuport,,
Nesher Ramla,5519,5519,5,47,,Limestone,Pebble,complete,79.97,74.13,45.04,148,no,,,,no,Manuport,,
Nesher Ramla,8036,8036,5,45,,Limestone,Pebble,broken,85.28,78.62,63.74,526,no,,,,no,Manuport,,
Nesher Ramla,6355,6355,5,56,,Limestone,Pebble,broken,70.79,33.63,57.2,184,yes,tip,pecking,1,no,Hammerstone,,
Nesher Ramla,8483,8483,5,37,,Limestone,Pebble,complete,72.03,66.97,53.02,354,no,,,,no,Manuport,,
Nesher Ramla,6404,6404,5,,,Limestone,Pebble,complete,72.96,52.6,43.84,237,yes,central,polish,1,no,Abrader,,
Nesher Ramla,8030,8030,5,45,,Limestone,Pebble,complete,61.4,53.05,49.66,232,yes,tip,polish,1,no,Undefined,,
Nesher Ramla,5584,5584,5,45,,Limestone,Pebble,complete,81.52,60.63,49.28,342,no,,,,no,Manuport,,
